,Date,Close,Volume,Adj Close,^DJI_Close,^IXIC_Close,^GSPC_Close,^RLG_Close,^NYA_Close,^VIX_Close,DX-Y.NYB_Close,EURUSD=X_Close,GBPUSD=X_Close,GC=F_Close,SI=F_Close,CL=F_Close,WM1NS,WM2NS,ICSA,CCSA,JTSJOL,PAYEMS,RSXFS,TCU,UMCSENT,BUSINV,INDPRO,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,BACTSAMFRBDAL,IR,IQ,PPIACO,CPIAUCSL,CPILFESL,MICH,CSCICP03USM665S,Grow,News_Score
10,2015-01-16,26.497499465942383,314053200,23.815216064453125,17511.5703125,4634.3798828125,2019.4200439453125,946.0800170898438,10660.3203125,20.950000762939453,92.5199966430664,1.1637378931045532,1.5181187391281128,1276.9000244140625,17.73900032043457,48.68999862670898,2839.0,11797.6,304000.0,2400000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.5
11,2015-01-20,27.18000030517578,199599600,24.428630828857425,17515.23046875,4654.85009765625,2022.550048828125,949.6400146484376,10658.6201171875,19.88999938964844,93.0500030517578,1.1597968339920044,1.5090012550354004,1294.199951171875,17.94700050354004,46.38999938964844,2871.6,11752.4,298000.0,2336000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.5
12,2015-01-21,27.387500762939453,194303600,24.615129470825195,17554.279296875,4667.419921875,2032.1199951171875,953.8699951171876,10720.400390625,18.850000381469727,92.9000015258789,1.154694437980652,1.5147384405136108,1293.699951171875,18.179000854492188,47.77999877929688,2871.6,11752.4,298000.0,2336000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.5
13,2015-01-22,28.100000381469727,215185600,25.255510330200195,17813.98046875,4750.39990234375,2063.14990234375,968.4600219726562,10859.349609375,16.399999618530273,94.23999786376952,1.161534547805786,1.5144860744476318,1300.699951171875,18.34600067138672,46.310001373291016,2871.6,11752.4,298000.0,2336000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.5110133996751572
14,2015-01-23,28.2450008392334,185859200,25.385826110839844,17672.599609375,4757.8798828125,2051.820068359375,966.219970703125,10788.330078125,16.65999984741211,95.0,1.1346745491027832,1.5013211965560913,1292.5999755859375,18.28400039672852,45.59000015258789,2871.6,11752.4,298000.0,2336000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.5
15,2015-01-26,28.274999618530277,222460000,25.412790298461918,17678.69921875,4771.759765625,2057.090087890625,969.469970703125,10847.150390625,15.520000457763672,94.8000030517578,1.1125450134277344,1.4995876550674438,1279.4000244140625,17.966999053955078,45.150001525878906,2978.3,11677.4,261000.0,2335000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.5650902168987694
16,2015-01-27,27.28499984741211,382274800,24.52301025390625,17387.2109375,4681.5,2029.550048828125,955.9099731445312,10781.830078125,17.219999313354492,94.0199966430664,1.1247708797454834,1.5085458755493164,1291.699951171875,18.06800079345703,46.22999954223633,2978.3,11677.4,261000.0,2335000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.6523421082309716
17,2015-01-28,28.82749938964844,585908400,25.90936088562012,17191.369140625,4637.990234375,2002.1600341796875,946.719970703125,10603.8603515625,20.440000534057617,94.47000122070312,1.1367381811141968,1.5188103914260864,1285.9000244140625,18.06800079345703,44.45000076293945,2978.3,11677.4,261000.0,2335000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.9829777639450112
18,2015-01-29,29.725000381469727,337745600,26.71600914001465,17416.849609375,4683.41015625,2021.25,956.8300170898438,10691.6298828125,18.76000022888184,94.77999877929688,1.1281461715698242,1.5142338275909424,1254.5999755859375,16.757999420166016,44.52999877929688,2978.3,11677.4,261000.0,2335000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.7806553061978215
19,2015-01-30,29.290000915527344,334982000,26.32504653930664,17164.94921875,4635.240234375,1994.989990234375,945.9099731445312,10537.2197265625,20.96999931335449,94.8000030517578,1.13355553150177,1.507909059524536,1278.5,17.191999435424805,48.2400016784668,2978.3,11677.4,261000.0,2335000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.5
